Time resolution is 1 ps
clk = 0, rst = 0, cnt = 0000
clk = 20000, rst = 1, cnt = 0000
clk = 30000, rst = 1, cnt = 0001
clk = 50000, rst = 1, cnt = 0010
clk = 70000, rst = 1, cnt = 0011
clk = 90000, rst = 1, cnt = 0100
clk = 110000, rst = 1, cnt = 0101
clk = 130000, rst = 1, cnt = 0110
clk = 150000, rst = 1, cnt = 0111
clk = 170000, rst = 1, cnt = 1000
clk = 190000, rst = 1, cnt = 1001
clk = 210000, rst = 1, cnt = 1010
clk = 230000, rst = 1, cnt = 1011
clk = 250000, rst = 1, cnt = 1100
clk = 270000, rst = 1, cnt = 1101
clk = 290000, rst = 1, cnt = 1110
clk = 310000, rst = 1, cnt = 1111
clk = 330000, rst = 1, cnt = 0000
clk = 350000, rst = 1, cnt = 0001
clk = 360000, rst = 0, cnt = 0000
clk = 400000, rst = 1, cnt = 0000
clk = 410000, rst = 1, cnt = 0001
clk = 430000, rst = 1, cnt = 0010
clk = 450000, rst = 1, cnt = 0011
clk = 470000, rst = 1, cnt = 0100
clk = 490000, rst = 1, cnt = 0101
clk = 510000, rst = 1, cnt = 0110
clk = 530000, rst = 1, cnt = 0111
clk = 550000, rst = 1, cnt = 1000
clk = 570000, rst = 1, cnt = 1001
clk = 590000, rst = 1, cnt = 1010
clk = 610000, rst = 1, cnt = 1011
clk = 630000, rst = 1, cnt = 1100
clk = 650000, rst = 1, cnt = 1101
clk = 670000, rst = 1, cnt = 1110
clk = 690000, rst = 1, cnt = 1111
clk = 710000, rst = 1, cnt = 0000
clk = 730000, rst = 1, cnt = 0001
clk = 750000, rst = 1, cnt = 0010
clk = 770000, rst = 1, cnt = 0011
clk = 790000, rst = 1, cnt = 0100
clk = 810000, rst = 1, cnt = 0101
clk = 830000, rst = 1, cnt = 0110
clk = 850000, rst = 1, cnt = 0111
clk = 870000, rst = 1, cnt = 1000
clk = 890000, rst = 1, cnt = 1001
$finish called at time : 900 ns 
